iso,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
MEX,Oaxaca,2003,9694.81515810562048291,4188754.347377372095305
MEX,Puebla,2003,1189.44602365500388570,491673.784104926977537
MEX,Quer�taro,2003,66.34872739443251388,12161.921542425874627
MEX,Quintana Roo,2003,20183.93189935518904944,6653083.654589253668467
MEX,San Luis Potos�,2003,1725.20262915751103139,591726.0719327658264648
MEX,Sinaloa,2003,893.77605955210914010,227206.3507850639411832
MEX,Sonora,2003,301.48655367223512121,36460.7420245704213609
MEX,Tabasco,2003,5299.42454339369709753,1672604.455882502345340
MEX,Tamaulipas,2003,2738.85012065096358614,467750.7750792158630462
MEX,Tlaxcala,2003,42.88871313276040048,22677.356592536675634
MEX,Veracruz,2003,14005.25460057334945792,4915163.7899732479113217
MEX,Yucat�n,2003,25250.54788792708030388,6387524.302494475691612
