event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MEX64241,"20 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Private Security Forces (Mexico)",,"External/Other forces","Political militia-External/Other forces",,484,"North America",Mexico,"Nuevo Leon",Guadalupe,,Guadalupe,25.6773,-100.2599,1,"El Norte",Subnational,"On 20 August 2022, in Guadalupe, Nuevo Leon, two individuals shot and injured the bodyguard of the state Security Secretary in Colonia Paseo de Guadalupe. The man was injured in the attack.",0,,1702344168
MEX64194,"18 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave",Espinal,,Espinal,20.2578,-97.3977,1,"Imagen del Golfo",Subnational,"On 18 August 2022, in Espinal, Veracruz, a municipal police officer was shot and injured by unidentified armed men when he was inside his vehicle. 1 injured.",0,,1663001497
MEX64171,"18 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Jalisco,"Encarnacion de Diaz",,"Encarnacion de Diaz",21.5244,-102.2331,1,Milenio,National,"On 18 August 2022, in Encarnacion de Diaz, Jalisco, there was an armed clash between members of criminal groups in Colonia Lomas de la Estacion after one of the criminal group set up a checkpoint in the area. 1 person was injured.",0,,1663001498
MEX64180,"18 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Unidentified Armed Group (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,"Michoacan de Ocampo",Uruapan,,Uruapan,19.4209,-102.0628,2,MiMorelia,Subnational,"On 18 August 2022, around Uruapan, Michoacan, there was an armed clash between groups of armed men around Matanguaran community. Casualties unknown.",0,,1663001498
MEX67429,"18 August 2022",2022,1,"Political violence",Battles,"Armed clash","Los Zetas",,"Political militia","Police Forces of Mexico (2018-) Ministerial Federal Police","Military Forces of Mexico (2018-)","State forces","State forces-Political militia",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave","Emiliano Zapata",,"El Guayabo",19.5381,-96.8214,2,"Imagen del Golfo",Subnational,"On 18 August 2022, close to El Guayabo, Veracruz de Ignacio de la Llave, the leader of the Zetas gang opened fire at elements of the Ministry of Public Security, the Ministry of the Navy (Semar) (military force) and National Intelligence (ministerial police) in a joint operation to arrest the man. Police officers arrested the man and confiscated drugs and weapons. There were no casualties.",0,,1668453946
MEX64183,"18 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,"Nuevo Leon",Guadalupe,,Guadalupe,25.6773,-100.2599,1,"El Norte; Milenio",Subnational-National,"On 18 August 2022, in Guadalupe, Nuevo Leon, a drug dealer was shot and killed outside his house by two armed men on a motorcycle in Colonia Josefa Zozaya (drive-by). 1 fatality.",1,,1702344168
MEX64142,"17 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Mexico,"La Paz",,"Los Reyes Acaquilpan",19.3584,-98.9766,1,"Hoy Tamaulipas",National,"On 17 August 2022, in Los Reyes Acaquilpan, Mexico, two men were shot and killed by armed men in a vehicle (drive-by). According to the report, the victims were members of a rival criminal group that operates in the area, stealing trailers. Police started investigations. 2 fatalities.",2,,1663001497
MEX64146,"17 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Nuevo Leon","Los Ramones",,"Los Ramones",25.6968,-99.6237,1,"El Norte",Subnational,"On 17 August 2022, in Los Ramones, Nuevo Leon, four armed men in two vehicles shot at the state police (drive-by). The police did not repelled the attack. There were no casualties.",0,,1702344168
MEX64107,"16 August 2022",2022,2,"Political violence",Battles,"Armed clash","CJNG: Jalisco New Generation Cartel",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Jalisco,"Concepcion de Buenos Aires",,"Concepcion de Buenos Aires",19.9788,-103.261,2,"Hoy Tamaulipas; Imagen del Golfo",National,"Around 16 August 2022 (as reported), near Concepcion de Buenos Aires, Jalisco, four municipal police officers from Concepcion de Buenos Aires were abducted and interrogated by members of the CJNG. A video of the interrogation was posted on social media. Other versions stated that the perpetrators were members of the Pajaros Sierra Gang. The whereabouts of the victims are unknown. Casualties unknown.",0,,1663001495
MEX64118,"16 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,"San Luis Potosi",Moctezuma,,Moctezuma,22.7474,-101.083,1,"Antena San Luis",Subnational,"On 16 August 2022, in Moctezuma, San Luis Potosi, armed men attacked the municipal police station. Four police officers were kidnapped. The victims were released the next day and left in good physical conditions in Villa Hidalgo municipality. There were no causalities.",0,,1663001495
